MsgID.STATE,0.0000000,True,True,1
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974514,37.7924796,0.2260000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,197.1730000,-0.0429815,-0.1316829,-0.2263876
MsgID.LOCAL_VELOCITY,197.1730000,0.0000045,-0.0000129,0.0000090
MsgID.GLOBAL_POSITION,0.0000000,-122.3974500,37.7924791,0.2110000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,197.4230000,-0.0970776,-0.0080427,-0.2111407
MsgID.LOCAL_VELOCITY,197.4230000,0.0000016,-0.0000256,0.0000151
MsgID.LOCAL_POSITION,197.6740000,0.0702973,-0.0048320,-0.1863984
MsgID.LOCAL_VELOCITY,197.6740000,0.0000282,-0.0000301,0.0000142
MsgID.GLOBAL_POSITION,0.0000000,-122.3974500,37.7924806,0.1860000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,197.9230000,0.1709874,-0.0362295,-0.1505023
MsgID.LOCAL_VELOCITY,197.9230000,0.0000280,-0.0000234,0.0000165
MsgID.GLOBAL_POSITION,0.0000000,-122.3974504,37.7924815,0.1500000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974495,37.7924801,0.1050000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,198.1730000,0.0188420,0.0370676,-0.1058613
MsgID.LOCAL_VELOCITY,198.1730000,0.0000038,-0.0000063,0.0000144
MsgID.GLOBAL_POSITION,0.0000000,-122.3974484,37.7924792,0.0580000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,198.4240000,-0.0824930,0.1391562,-0.0580455
MsgID.LOCAL_VELOCITY,198.4240000,-0.0000004,-0.0000115,0.0000194
MsgID.LOCAL_POSITION,198.6730000,0.1556672,-0.0384448,-0.0135551
MsgID.LOCAL_VELOCITY,198.6730000,0.0000053,0.0000040,0.0000159
MsgID.GLOBAL_POSITION,0.0000000,-122.3974504,37.7924814,0.0130000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974502,37.7924819,-0.0210000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,198.9230000,0.2155586,-0.0200093,0.0218171
MsgID.LOCAL_VELOCITY,198.9230000,0.0000002,-0.0000095,0.0000162
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974500,37.7924800,0.0000000
MsgID.LOCAL_POSITION,199.1740000,0.1216730,-0.0048314,0.0428923
MsgID.LOCAL_VELOCITY,199.1740000,0.0000194,-0.0000100,0.0000201
MsgID.GLOBAL_POSITION,0.0000000,-122.3974500,37.7924810,-0.0420000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974500,37.7924797,-0.0450000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,199.4240000,-0.0328447,-0.0083542,0.0453865
MsgID.LOCAL_VELOCITY,199.4240000,-0.0000178,-0.0000405,0.0000123
MsgID.LOCAL_POSITION,199.6740000,-0.1115627,-0.1261712,0.0294509
MsgID.LOCAL_VELOCITY,199.6740000,0.0000155,0.0000114,0.0000115
MsgID.GLOBAL_POSITION,0.0000000,-122.3974514,37.7924789,-0.0290000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974502,37.7924785,0.0000000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,199.9240000,-0.1586248,-0.0182264,-0.0002735
MsgID.LOCAL_VELOCITY,199.9240000,0.0000328,-0.0000182,0.0000177
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974488,37.7924791,0.0360000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,200.1750000,-0.0955635,0.1019908,-0.0363296
MsgID.LOCAL_VELOCITY,200.1750000,0.0000020,0.0000095,0.0000183
MsgID.GLOBAL_POSITION,0.0000000,-122.3974516,37.7924790,0.0680000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,200.4250000,-0.1056575,-0.1484817,-0.0689771
MsgID.LOCAL_VELOCITY,200.4250000,-0.0000053,-0.0000038,0.0000095
MsgID.LOCAL_POSITION,200.6750000,0.0836931,-0.0192911,-0.0899754
MsgID.LOCAL_VELOCITY,200.6750000,-0.0000205,-0.0000066,0.0000156
MsgID.GLOBAL_POSITION,0.0000000,-122.3974502,37.7924807,0.0890000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,200.9260000,0.1390806,0.0624890,-0.0937279
MsgID.LOCAL_VELOCITY,200.9260000,-0.0000051,-0.0000360,0.0000175
MsgID.GLOBAL_POSITION,0.0000000,-122.3974492,37.7924812,0.0930000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974500,37.7924800,0.0000000
MsgID.LOCAL_POSITION,201.1760000,0.0323746,-0.0500594,-0.0800268
MsgID.LOCAL_VELOCITY,201.1760000,-0.0000114,-0.0000253,0.0000145
MsgID.GLOBAL_POSITION,0.0000000,-122.3974505,37.7924802,0.0800000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974501,37.7924802,0.0510000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,201.4250000,0.0306847,-0.0108788,-0.0517383
MsgID.LOCAL_VELOCITY,201.4250000,0.0000015,-0.0000040,0.0000176
MsgID.LOCAL_POSITION,201.6770000,-0.0208067,-0.0048212,-0.0172725
MsgID.LOCAL_VELOCITY,201.6770000,0.0000140,0.0000160,0.0000202
MsgID.GLOBAL_POSITION,0.0000000,-122.3974500,37.7924798,0.0170000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974508,37.7924791,-0.0160000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,201.9260000,-0.0925122,-0.0778710,0.0163405
MsgID.LOCAL_VELOCITY,201.9260000,0.0000008,-0.0000108,0.0000152
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974511,37.7924795,-0.0440000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,202.1760000,-0.0490566,-0.1014473,0.0444512
MsgID.LOCAL_VELOCITY,202.1760000,0.0000201,-0.0000297,0.0000236
MsgID.GLOBAL_POSITION,0.0000000,-122.3974487,37.7924812,-0.0620000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,202.4270000,0.1356354,0.1127256,0.0627279
MsgID.LOCAL_VELOCITY,202.4270000,0.0000100,-0.0000244,0.0000201
